speed_limit_kmh,elevation_gradient,road_length_m,road_curvature,weather_temperature_celsius,weather_humidity_percent,weather_wind_speed_ms,weather_precipitation_mm,traffic_density,traffic_average_speed_kmh,traffic_travel_time_factor,ev_battery_capacity_kwh,ev_efficiency_wh_per_km,ev_battery_level_percent,ev_vehicle_weight_kg,energy_efficiency_factor,temperature_impact,traffic_energy_impact,elevation_energy_impact,hour_of_day,day_of_week,is_weekend,is_rush_hour,speed_elevation_interaction,temperature_traffic_interaction,weather_traffic_interaction,speed_limit_squared,elevation_gradient_squared,temperature_squared,speed_to_limit_ratio,energy_efficiency_ratio,highway_encoded,road_type_encoded,surface_encoded,weather_condition_encoded,traffic_congestion_level_encoded,distance_to_nearest_charger_km,charger_density_per_km2,energy_consumption
55.8470565,0.005877933,1158.925483,0.05330816,21.93099906,40.65476981,6.443462181,0.58920317,0.579333322,41.97292771,1.145135908,95.602749,163.5347437,0.5347449,1776.685141,0.955758164,1.019309991,1.115866664,1.000587793,18,6,1,1,0.328265242,12.70535854,0.34134503,3118.89372,3.46E-05,480.9687196,0.751569202,0.948125713,0,2,0,0,1,1.983629048,0.158841133,160.9542451
84.42091742,-0.062954753,1708.246069,0.028693517,35,56.62347924,3.221692472,0.301848491,0.088608144,44.89260986,1.48463932,93.0870274,198.6037711,0.663301091,1989.617679,1.094241472,1.15,1.017721629,1.006295475,18,3,0,1,-5.31469802,3.101285046,0.026746235,7126.891298,0.003963301,1225,0.531771168,1.065186793,0,1,1,1,0,4.75637242,0.696120455,246.3404403
68.50989056,-0.033165821,1067.092548,0.048827239,17.83523478,43.95852104,7.995088613,5.980121727,0.178314511,42.0088265,1.532009046,71.11091775,181.5109299,0.45422152,2173.48022,0.914005611,1.021647652,1.035662902,1.003316582,13,2,0,0,-2.272186787,3.180281175,1.066342484,4693.605105,0.001099972,318.0955996,0.613179005,0.994483631,0,0,2,1,1,2.200685134,1.199525177,179.59431
82.98923884,-0.027155859,382.6053366,0.021875676,17.8207269,53.33511717,2.757162692,2.952967015,0.230756314,58.74106363,1.662565584,69.82817279,180.1416121,0.79908784,1983.0574,0.950137692,1.021792731,1.046151263,1.002715586,9,2,0,1,-2.253644093,4.112245259,0.681415785,6887.213764,0.000737441,317.5783073,0.707815428,1.03309509,0,1,0,3,1,3.641969363,0.219417315,199.511566
113.0794535,-0.014049134,160.2123328,0.080699594,8.825006773,54.22155563,4.308116953,3.922193458,0.219699096,22.51099009,1.711448258,70.01567454,169.3906116,0.564768482,1622.107328,0.930402749,1.111749932,1.043939819,1.001404913,6,4,0,0,-1.588668418,1.938846011,0.861702357,12786.9628,0.000197378,77.88074455,0.5,1.018692493,0,0,2,3,0,4.371111576,1.511594876,173.0088357
67.92516507,0.030127727,920.8303487,0.087231728,20.9886801,81.01177622,4.430246771,5.013431598,0.434457711,62.66837533,1.230945964,76.32125683,216.3892414,0.49402558,1614.821675,0.953939293,1.009886801,1.086891542,1.003012773,6,2,0,0,2.046430845,9.118693913,2.178124016,4613.828049,0.00090768,440.5246925,0.922609099,1.051181508,0,3,0,1,1,4.01960708,1.403471402,236.1145977
52.47211265,0.008756234,230.8030874,0.066429643,12.99121014,56.03304203,4.777686285,0.612346694,0.353097242,60.4669759,1.301263506,84.48265425,179.9101756,0.392937217,1973.884275,0.928721925,1.070087899,1.070619448,1.000875623,10,6,1,0,0.459458113,4.587160466,0.216217928,2753.322606,7.67E-05,168.7715409,1.152364044,0.990290244,0,2,0,1,0,2.875448193,1.068190707,179.9639696
67.24115122,-0.068532588,1816.598438,0.057081793,17.72455097,51.29499645,2.107745296,2.041405885,0.429664853,48.43916298,1.103177365,78.10977893,187.9094744,0.91662231,1634.087536,1.059745022,1.02275449,1.085932971,1.006853259,1,4,0,0,-4.608210142,7.615616582,0.877120359,4521.372418,0.004696716,314.1597069,0.720379739,0.99086961,0,2,2,1,2,3.510389426,0.53954668,192.7841527
55.3461758,0.038111067,1499.316786,0.072673442,14.80257228,41.22117285,8.43872815,2.247491301,0.068071638,12.90337785,1.98902494,94.88040112,168.8574096,0.37039665,2233.04306,1.042560114,1.051974277,1.013614328,1.003811107,1,1,0,0,2.109301788,1.007635339,0.152990414,3063.199176,0.001452453,219.1161461,0.5,0.996487253,1,0,1,1,0,4.87992539,1.21127651,200.0693489
84.97973513,0.018467291,1952.549259,0.024464397,23.02888604,61.18206458,4.719818458,0.121967055,0.313978227,76.32978882,1.366859816,81.21522246,157.7725901,0.58239435,1700.694245,0.8,1.03028886,1.062795645,1.001846729,0,0,0,0,1.569345533,7.230568811,0.038295,7221.555384,0.000341041,530.3295924,0.898211658,0.963401523,1,0,2,1,0,4.609460259,1.833374477,139.661894
86.20271603,0.047709627,408.9286158,0.001613188,23.07899973,56.37302011,3.779892679,2.808165782,0.496493043,49.21320688,1.191808552,89.03421163,172.981514,0.690887733,2025.966232,0.876175349,1.030789997,1.099298609,1.004770963,17,4,0,1,4.11269942,11.45856282,1.394234776,7430.90825,0.002276208,532.6402287,0.570900885,1.010160238,0,0,2,2,1,4.024121739,1.803301274,156.6144245
78.43764901,-0.052682917,1373.705246,0.022747888,28.50835854,87.75433562,1.091311989,7.653690835,0.370227105,48.26674289,1.684558209,98.21614932,180.7269895,0.314142533,1936.210459,0.91393794,1.085083585,1.074045421,1.005268292,7,1,0,1,-4.132324182,10.55456704,2.833603798,6152.464782,0.00277549,812.7265068,0.615351728,1.024263212,1,3,0,3,2,3.121142092,1.959461887,186.9995199
52.59716038,-0.054923192,351.8667727,0.041608534,8.623544896,41.82923757,1.080961515,1.504596219,0.219697642,35.31509397,1.441628957,87.48610596,179.9864692,0.769789059,2151.130892,0.984965366,1.113764551,1.043939528,1.005492319,7,0,0,1,-2.888803946,1.894572481,0.330556242,2766.46128,0.003016557,74.36552658,0.671425866,0.951370745,0,0,1,2,2,4.660189556,1.633223657,168.2496455
65.57439228,-0.023010607,1340.689135,0.097880059,24.11790466,44.73320994,5.98069432,1.2929142,0.431872915,86.8683143,1.132235298,68.10496119,196.2674635,0.225696359,2070.770131,0.863099895,1.041179047,1.086374583,1.002301061,5,6,1,0,-1.508906544,10.41586978,0.558374624,4300.000923,0.000529488,581.6733251,1.324729232,1.062538365,1,2,0,0,0,3.875485763,0.313420536,197.2708157
106.9840137,0.015042319,945.3335757,0.071845936,17.39035243,49.08253125,1.666581171,0.82437849,0.268763869,70.12818396,1.721676341,96.19142399,201.9512931,0.971526115,1970.816221,1.2,1.026096476,1.053752774,1.001504232,7,3,0,1,1.609287696,4.673898402,0.221563152,11445.57918,0.000226271,302.4243578,0.655501524,1.03788301,0,3,0,0,0,1.73916029,0.743703722,260
104.2851092,-0.001521698,1294.069706,0.088794177,27.31823819,42.28078752,5.723704856,1.911197683,0.029709685,35.1153093,1.406238097,93.80707136,159.4481812,0.999010033,1696.124329,1.117621329,1.073182382,1.005941937,1.00015217,3,3,0,0,-0.158690401,0.811616262,0.056781082,10875.384,2.32E-06,746.286138,0.5,0.991735187,1,2,1,0,2,2.571036629,1.913675658,187.8070352
90.01161546,-0.065022793,1925.512122,0.080201882,17.44473564,67.69563145,3.336394897,0.299389486,0.249834648,57.85000461,1.085707725,61.07567334,174.4328647,0.915858837,1672.137276,0.924499621,1.025552644,1.04996693,1.006502279,20,3,0,0,-5.852806673,4.358299389,0.074797867,8102.090918,0.004227964,304.3188015,0.642694882,1.015641435,1,3,0,2,0,4.388988728,1.123061484,159.7276423
103.2219961,-0.070113257,1258.458528,0.051359326,31.22104224,79.84964972,1.262354029,0.960245642,0.385299938,62.28664224,1.457360105,91.00080279,198.5560033,0.841572832,1755.470719,0.913763524,1.112210422,1.077059988,1.007011326,12,1,0,0,-7.237230319,12.02946564,0.369982586,10654.78048,0.004915869,974.7534788,0.603424121,0.915185545,1,2,0,3,0,4.679134747,1.228177166,192.0041825
66.81192666,-0.062212044,1707.471336,0.000456401,-2.011732443,65.75675897,5.904137093,2.522879182,0.26691873,39.10996453,1.806279345,85.69937106,206.2311178,0.626404772,1568.801906,0.989737271,1.220117324,1.053383746,1.006221204,3,5,1,0,-4.156506513,-0.536969069,0.673403707,4463.833544,0.003870338,4.04706742,0.585373997,1.0633758,0,1,1,2,0,4.20127485,1.09506659,246.0100236
47.28194006,-0.060586074,1000.954955,0.056249957,17.09674743,56.73276877,0.686408302,0.092788283,0.262046269,30.51453574,1.563814508,84.93430041,187.6221427,0.348546658,2333.06184,0.8,1.029032526,1.052409254,1.006058607,16,2,0,0,-2.864627134,4.480138877,0.024314823,2235.581856,0.003670672,292.2987727,0.64537402,1.041312719,0,2,2,2,0,4.212280677,0.455988505,171.1617141
118.2824221,0.051903511,333.8345295,0.090570616,25.10684183,40.472693,5.510029627,0.532136331,0.325916764,11.90388915,1.508465066,53.79906237,220.9700633,0.660798511,1770.586931,1.106576518,1.051068418,1.065183353,1.005190351,7,0,0,1,6.139273043,8.182740645,0.173432151,13990.73137,0.002693974,630.3535068,0.5,1.029708612,1,3,2,0,1,3.251673924,0.933023528,260
57.85708981,-0.023810206,879.6634842,0.035739969,12.66121312,68.14130205,2.964961982,12.53375648,0.284596797,40.54533836,1.081121201,94.98654972,179.8699995,0.731155042,2134.370838,1.03612277,1.073387869,1.056919359,1.002381021,10,4,0,0,-1.377589245,3.603340696,3.567066944,3347.442841,0.000566926,160.3063177,0.700784269,0.973101777,0,3,2,1,0,2.306490866,0.472859704,192.0563542
40.19921759,-0.1,355.5274074,0.098786433,24.52569245,76.37428824,3.70748289,6.160964797,0.138366641,70.88962785,1.89787537,62.09633315,193.6301712,0.885237071,1774.998375,1.111375865,1.045256924,1.027673328,1.01,1,1,0,0,-4.019921759,3.393537689,0.852472006,1615.977095,0.01,601.5095899,1.5,1.006917859,1,0,0,2,1,4.182982727,0.25876269,248.2177754
61.51930275,-0.021099676,295.5165,0.060212357,28.02372088,85.44440877,2.764881768,2.897729731,0.106032024,10,1.614234676,84.45638417,170.8339005,0.359304625,1587.022835,1.027155503,1.080237209,1.021206405,1.002109968,18,1,0,1,-1.29803733,2.971411845,0.307252148,3784.624611,0.000445196,785.328932,0.5,1.013107362,0,3,0,1,2,4.98972156,1.928272535,188.2817839
103.3958744,0.030945004,1266.69952,0.030352337,15.82697937,52.64923824,7.677457979,4.378265958,0.270321609,12.88336657,1.108081743,52.52034751,171.606039,0.31589388,2022.448323,1.013826363,1.041730206,1.054064322,1.0030945,22,5,1,0,3.199585719,4.278374535,1.1835399,10690.70684,0.000957593,250.4932759,0.5,0.98852004,0,2,2,1,0,4.104102269,0.725292889,191.7938054
57.04289751,0.012013555,466.3619394,0.092085179,16.61884397,63.19370513,3.631238424,0.72857846,0.18398461,13.27759573,1.567552653,80.18082096,200.8798309,0.646042791,2131.432028,1.042475438,1.03381156,1.036796922,1.001201356,19,0,0,1,0.685288013,3.057611523,0.134047224,3253.892156,0.000144326,276.1859748,0.5,1.011597338,1,1,0,1,1,1.945862424,1.60275165,222.4916149
66.05949273,-0.014641749,261.5111713,0.053347529,33.54751254,60.4049901,1.330930057,3.093794149,0.129801902,11.95787547,1.653284583,70.93769473,175.6180598,0.660754539,1661.963429,0.890095826,1.135475125,1.02596038,1.001464175,21,4,0,0,-0.967226484,4.354530931,0.401580365,4363.85658,0.000214381,1125.435598,0.5,1.050325471,0,1,0,3,1,1.2184474,0.218123821,176.5932193
116.3069195,0.000376596,518.486468,0.005405352,11.70502221,47.12840138,5.556000326,3.032939733,0.115906654,58.99815019,1.635657026,74.47564042,195.5941452,0.217712112,1708.666088,1.026224476,1.082949778,1.023181331,1.00003766,2,4,0,0,0.043800746,1.35668996,0.351537896,13527.29953,1.42E-07,137.0075448,0.507262598,1.1,0,0,1,1,0,0.963435013,1.563089838,231.3626001
81.06281039,0.1,635.9659033,0.004488167,29.98157832,61.73320366,1.970042952,3.638632412,0.089596526,26.71346945,1.640011677,53.25372408,184.5170817,0.685842327,1686.649556,1.064185377,1.099815783,1.017919305,1.01,10,0,0,0,8.106281039,2.686245269,0.326008824,6571.179229,0.01,898.8950384,0.5,1.027920052,0,3,0,3,0,4.90416547,0.807930161,210.7891559
48.38933452,0.057266671,1338.349519,0.019504444,-1.405847172,77.19543168,3.932238734,0.671212701,0.119329642,44.87545755,1.731895129,82.95297162,173.3732976,0.372184852,1863.320543,1.024814053,1.214058472,1.023865928,1.005726667,17,4,0,1,2.771096088,-0.167759239,0.080095571,2341.527695,0.003279472,1.976406271,0.927383234,0.942313343,0,0,2,2,0,3.143951632,0.210900735,165.284219
67.37035693,0.02530829,1427.965586,0.060571287,16.10888579,56.48151373,3.921118692,2.286570966,0.477152515,42.34354339,1.823579865,75.07230374,186.8455901,0.937141659,1847.697467,1.100509772,1.038911142,1.095430503,1.002530829,6,0,0,0,1.705028539,7.686395367,1.091043087,4538.764992,0.00064051,259.4962013,0.628518911,1.0594069,0,1,2,3,1,3.815152732,0.558099722,228.5507603
54.23817151,-0.058423327,710.5570963,0.083540484,26.36031998,86.22191897,5.514705516,0.493817522,0.315475097,24.50588206,1.521641069,82.78705332,163.3513879,0.552656417,1711.576858,0.945972301,1.0636032,1.063095019,1.005842333,22,0,0,0,-3.16877444,8.316024501,0.155787131,2941.779249,0.003413285,694.8664694,0.5,0.939704786,1,3,2,1,0,2.564906704,1.885075565,165.6746807
49.43036545,-0.01314352,775.0983303,0.021111025,14.3889457,80.53002512,9.448648688,1.907805523,0.141456517,73.32045214,1.213472532,70.63312431,150,0.369982557,1900.341071,0.861492313,1.056110543,1.028291303,1.001314352,12,2,0,0,-0.649688999,2.035410142,0.269871524,2443.361029,0.000172752,207.0417585,1.483307911,0.94844669,1,2,1,1,2,3.270012427,1.960105506,139.4558262
77.52668206,0.020992387,1484.577465,0.052836576,-8.41473049,71.71781798,3.334801249,1.486690835,0.270474585,48.93057153,1.331025502,79.23932271,194.5113418,0.525221712,2120.008627,0.831150675,1.284147305,1.054094917,1.002099239,23,4,0,0,1.627470112,-2.275970736,0.402112086,6010.386431,0.00044068,70.80768922,0.63114492,0.961346419,0,2,0,1,1,2.330846616,0.332274955,182.2134004
56.7958117,-0.022262556,1123.721484,0.077255262,11.60960357,70.52670493,3.014715341,2.844568048,0.537613326,56.1824018,1.332512239,50.19873136,221.1660445,0.570038954,1586.714006,0.971612536,1.083903964,1.107522665,1.002226256,5,2,0,0,-1.264419922,6.241477589,1.529277689,3225.764227,0.000495621,134.782895,0.989199733,0.993583157,0,2,0,3,1,1.291116987,1.142861083,223.3654333
111.5538081,-0.027182117,334.5429641,0.051270675,5.723259329,84.56149872,5.460595784,0.072412852,0.170439183,27.73523696,1.879919254,54.83469084,182.2837731,0.518903695,1677.584898,0.817868893,1.142767407,1.034087837,1.002718212,17,4,0,1,-3.032268713,0.975467645,0.012341987,12444.25211,0.000738868,32.75569735,0.5,1.066655616,1,1,0,0,0,3.503989155,1.790105151,151.7394541
88.07186471,-0.09392193,535.1377298,0.076803067,29.14938506,71.86808528,3.520606946,3.523173877,0.383876662,41.30883011,1.068084284,94.4986941,184.4349279,0.786753642,2060.727763,1.002708497,1.091493851,1.076775332,1.009392193,1,1,0,0,-8.271879489,11.18976863,1.352464226,7756.653354,0.008821329,849.6866497,0.5,0.916694895,1,2,0,1,2,2.55515412,1.449239363,189.0399404
114.9741145,-0.036612313,797.9828209,0.016215103,3.968180456,76.75223087,5.968772165,2.739088919,0.463603619,47.19600016,1.687920108,69.33305812,179.7457017,0.332740522,1995.576161,0.911396427,1.160318195,1.092720724,1.003661231,21,3,0,0,-4.209468309,1.83966282,1.269851535,13219.047,0.001340461,15.74645613,0.5,1.04836055,0,1,1,0,2,1.234568025,0.947316988,191.5087938
77.74044442,-0.006076324,1714.149087,0.044878404,8.507519716,68.76568145,5.734358471,0.459419387,0.177895876,36.1045729,1.130012304,70.21773291,171.8806774,0.624560451,2308.165106,0.980187716,1.114924803,1.035579175,1.000607632,20,3,0,0,-0.472376147,1.513452672,0.081728814,6043.576698,3.69E-05,72.37789171,0.5,1.036452253,1,2,1,0,0,4.779489765,1.216493726,178.5641491
79.44403368,-0.020123825,1150.705232,0.059827378,24.02695415,87.17825757,4.816500074,1.4174232,0.30334066,43.72595344,1.851294866,62.55563702,191.1843216,0.855070805,1710.458811,0.95164637,1.040269541,1.060668132,1.002012383,9,1,0,1,-1.598717842,7.288352136,0.429962089,6311.354487,0.000404968,577.2945257,0.550399463,0.9,1,1,0,0,1,3.845239631,0.873190375,163.5933861
107.0366566,-0.074138494,1960.345017,0.002613803,22.00170316,41.58193289,7.499802086,3.387130673,0.316147137,60.37175056,1.034731733,93.88008068,179.4862663,0.456360448,1634.638152,0.856675583,1.020017032,1.063229427,1.007413849,0,4,0,0,-7.935536477,6.955775474,1.070831667,11456.84585,0.005496516,484.074942,0.56402874,0.987390454,1,2,0,2,0,4.949062916,1.879309949,175.0369676
78.46435358,0.015287828,1700.996087,0.023732508,22.38375717,66.11809772,3.568769622,2.11481934,0.335391145,24.38697524,1.728044259,50.40823612,165.3459994,0.518238713,1980.436399,0.974778841,1.023837572,1.067078229,1.001528783,15,3,0,0,1.199549548,7.507313959,0.709291681,6156.654783,0.000233718,501.0325852,0.5,0.986129627,1,1,1,0,1,0.686388007,0.118298112,174.5563104
49.24861063,0.059899815,1937.253269,0.070809374,10.3743094,40.35416673,6.155792844,0.209866415,0.265393505,54.72213232,1.967633099,81.39576596,186.7833262,0.614139271,1500,1.057361706,1.096256906,1.053078701,1.005989982,9,5,1,1,2.949982687,2.753274328,0.055697183,2425.425649,0.003587988,107.6262954,1.111140631,1.058454848,1,0,0,0,0,4.901597208,0.265411823,220.9192286
93.71787019,0.00386804,513.6209011,0.0249478,9.924609178,42.8616981,7.721487025,5.109699206,0.353584259,24.93965916,1.766044125,87.29216766,182.1223601,0.941245468,1802.430172,0.938686314,1.100753908,1.070716852,1.000386804,11,4,0,0,0.362504516,3.509185579,1.806709206,8783.039194,1.50E-05,98.49786734,0.5,0.98542947,0,3,0,3,0,2.847183218,1.855933978,190.2407537
109.7358251,-0.020828155,394.6351066,0.022137392,14.59886047,44.16262968,3.286004506,1.634610888,0.281406226,66.44450262,1.952185405,96.42935489,169.7239933,0.426654745,1989.32171,1.140302458,1.054011395,1.056281245,1.002082816,19,3,0,1,-2.285594797,4.10821023,0.459989681,12041.95132,0.000433812,213.1267269,0.605495084,0.999588561,1,2,2,2,1,3.165086413,1.418326876,206.6766789
83.03826464,0.017150398,1330.645652,0.003900121,35,80.3560471,2.340292222,2.142718422,0.113136768,30.60577344,1.950750067,93.38442514,188.1527202,0.340595756,1718.546852,0.98776501,1.15,1.022627354,1.00171504,17,5,1,1,1.424139298,3.959786879,0.242420237,6895.353395,0.000294136,1225,0.5,0.961467434,0,0,0,2,2,3.463363066,1.407796811,185.0783821
118.080023,-0.01829255,1189.510271,0.09617806,-5.35965036,44.32553982,4.11099004,5.522773274,0.494126786,48.45380463,1.169264566,52.09906971,189.4090774,0.404063658,1938.334725,1.142635062,1.253596504,1.098825357,1.001829255,6,1,0,0,-2.159984704,-2.648346805,2.728950207,13942.89182,0.000334617,28.72585198,0.5,1.046203117,1,1,0,2,0,3.817177319,1.820078933,260
49.88015522,0.049883322,1547.773932,0.055608583,18.01662913,55.9209542,2.605163014,2.038781432,0.212511336,42.43675409,1.222551032,60.36176579,184.045236,0.855059427,1500,0.868163054,1.019833709,1.042502267,1.004988332,4,1,0,0,2.48818782,3.828737929,0.433264166,2488.029885,0.002488346,324.5989251,0.850774299,0.981871272,0,3,2,0,1,4.475890996,0.469586583,158.2723624
108.6065317,-0.02796933,1000.921163,0.0071147,13.88058331,67.84562972,1.249263372,0.012787568,0.412748845,57.89757688,1.937376228,65.32989103,183.9758059,0.612395938,2007.643176,1.109720351,1.061194167,1.082549769,1.002796933,8,1,0,1,-3.037651947,5.729194726,0.005278054,11795.37873,0.000782283,192.6705929,0.533094796,1.03989037,0,3,1,0,0,1.113259004,0.200207749,225.6910231
112.0633138,0.022841377,222.311466,0.027017325,21.6515503,68.1408067,4.700440869,5.421071611,0.102783837,37.66696931,1.50239928,86.15990328,162.2434825,0.535051755,1720.463877,0.981019887,1.016515503,1.020556767,1.002284138,12,6,1,0,2.559680452,2.225429413,0.55719854,12558.1863,0.000521729,468.7896306,0.5,0.989159917,0,3,0,0,0,2.688966771,0.783108991,162.3623031
65.7927114,0.024641417,262.4592608,0.038419206,13.81523235,72.08672384,3.693168967,2.674233452,0.276496699,41.96687279,1.0090801,61.19961089,216.4314318,0.485855444,1500,1.111708389,1.061847677,1.05529934,1.002464142,1,4,0,0,1.621225668,3.819866134,0.73941672,4328.680873,0.000607199,190.8606448,0.637865075,0.94695368,1,1,0,0,1,0.836667943,0.928910723,238.8460952
115.4562099,0.008992067,463.8408854,0.070770323,32.52760353,56.35578812,1.92777808,2.282878997,0.619602906,10,1.838147255,98.39153978,164.9225124,0.262519015,1767.966009,0.8,1.125276035,1.123920581,1.000899207,4,1,0,0,1.038189956,20.15419767,1.41447846,13330.13641,8.09E-05,1058.044992,0.5,1.025320524,1,2,1,2,1,4.761589989,1.949499676,132.2558354
68.30427413,-0.041720637,1613.835946,0.013197419,19.30022778,75.34697193,4.918769857,1.156227606,0.097854461,49.08193497,1.66060114,80.63428335,173.9483337,0.828026641,1889.754766,0.8,1.006997722,1.019570892,1.004172064,15,1,0,0,-2.849697794,1.888613389,0.113142029,4665.473865,0.001740612,372.4987924,0.718577799,0.9,0,1,1,0,1,1.261471939,0.152621735,151.6500368
